Driver,h0_exp,R2_exp,RMSE_exp,logL_exp,AIC_exp,BIC_exp,a_lin,R2_lin,RMSE_lin,logL_lin,AIC_lin,BIC_lin,Age,Gender,DayNight,dRMSE,dAIC,dBIC,winner_AIC,AIC_strength
1,4.37969137282964,-0.87696957101486,0.276299731454275,-299.83310212845,601.666204256899,607.389324349166,-0.124870651554272,-1.54035807499806,0.32143955277826,-641.823646597368,1285.64729319474,1291.370413287,A,F,D,0.0451398213239851,683.981088937837,683.981088937837,exp,>10 (strong)
2,4.72124206992489,-0.268997000502583,0.190868307289281,1743.42565630961,-3484.85131261922,-3477.94899309069,-0.140275989730162,-0.690013802999696,0.220266600964837,690.645134225992,-1379.29026845198,-1372.38794892346,A,F,D,0.0293982936755562,2105.56104416724,2105.56104416724,exp,>10 (strong)
3,3.45851760524373,-0.021314808473357,0.171849627851763,2385.11244893467,-4768.22489786933,-4761.37552736558,-0.180981611421163,-0.506144679131114,0.208690234681104,1031.32109605192,-2060.64219210384,-2053.79282160008,A,F,D,0.0368406068293412,2707.5827057655,2707.5827057655,exp,>10 (strong)
4,5.7928872780695,-0.501722683447559,0.208298578784925,743.976554573193,-1485.95310914639,-1479.44294056991,-0.112079193080989,-0.961785272812037,0.238076851975069,80.548271268557,-159.096542537114,-152.586373960635,A,F,D,0.0297782731901443,1326.85656660927,1326.85656660927,exp,>10 (strong)
5,2.26741140329453,0.0268998069281255,0.158651163354106,1224.5379042244,-2447.0758084488,-2441.10299766468,-0.157421473807815,-2.50111289984029,0.300931423496577,-632.608491552461,1267.21698310492,1273.18979388904,A,F,D,0.142280260142471,3714.29279155373,3714.29279155373,exp,>10 (strong)
6,2.51862729681128,-0.441843534127704,0.138765770462229,2697.85435098814,-5393.70870197628,-5387.22155570622,-0.207929388717504,-2.98872608930198,0.230802437524085,229.27956181494,-456.559123629879,-450.071977359815,B,F,D,0.0920366670618563,4937.1495783464,4937.1495783464,exp,>10 (strong)
7,2.63896477850221,-1.53505192215745,0.266006540430331,-385.445893698634,772.891787397268,779.203185675705,-0.15651115472539,-3.42574839676269,0.351473224637317,-1519.39932715205,3040.7986543041,3047.11005258254,B,F,D,0.0854666842069858,2267.90686690684,2267.90686690684,exp,>10 (strong)
8,4.44208157826665,-0.896331041730742,0.214473282604116,529.934494879536,-1057.86898975907,-1051.4812221151,-0.136860963721852,-1.73612817073428,0.257622826373153,-275.352608391905,552.705216783811,559.092984427786,B,F,D,0.0431495437690367,1610.57420654288,1610.57420654288,exp,>10 (strong)
9,3.08391565463423,-0.561356924791933,0.193403354131243,1760.72108586356,-3519.44217172713,-3512.47275707626,-0.199846385876196,-1.33419724950759,0.236473065449663,180.618936965055,-359.23787393011,-352.268459279244,A,M,D,0.0430697113184198,3160.20429779702,3160.20429779702,exp,>10 (strong)
10,3.06654359376807,-0.317038234174473,0.167613015532831,1818.53804375702,-3635.07608751405,-3628.56833878146,-0.195105654862073,-0.941657989598139,0.203514292837496,857.267757547941,-1712.53551509588,-1706.02776636329,A,M,D,0.0359012773046656,1922.54057241816,1922.54057241816,exp,>10 (strong)
