Profile,r,p,N_pairs
1,0.0561991190358433,0.00260612856446926,2868
2,-0.231583792177343,1.08359409767491e-98,8068
3,-0.174236930815347,1.95673045724859e-52,7535
4,-0.035552903734077,0.0111751959096018,5092
5,-0.479132676251419,1.48381805548156e-192,3362
6,-0.235695475653312,8.0007723967294e-75,5863
7,-0.130591795363822,3.68930246552512e-19,4655
8,-0.0770702255265863,4.69623949922152e-08,5011
9,-0.160505800453501,6.75133538592587e-50,8454
10,-0.0997484031418152,3.58775122415744e-14,5741
11,-0.200740437004713,2.54226886665789e-77,8425
12,-0.214903033450076,7.06554747529504e-123,11756
13,-0.111111622144562,6.11197729970417e-24,8198
14,-0.133339492305331,2.27106641364192e-12,2747
15,-0.0174813689977318,0.272993502715822,3934
16,0.0496801524392879,0.00911874835477521,2754
17,-0.402253414503318,1.54012116268e-208,5383
18,-0.0617642936765846,3.53520849282696e-05,4478
19,-0.386823550411553,7.26570981242388e-98,2722
20,-0.00203809946976265,0.878440929659669,5634
21,-0.276855277422936,3.33861279804509e-79,4455
22,-0.440290205231251,4.62584193700167e-278,5894
23,-0.410955564718273,8.48513829441458e-149,3651
24,-0.127991256623019,1.08020814957574e-21,5546
25,-0.291108551615923,1.22959689913923e-77,3931
26,-0.219650729747151,2.08657018610494e-35,3121
27,-0.183195098819958,3.38149510115992e-57,7445
28,-0.175241848758545,3.08411801566682e-24,3310
29,-0.0387090724592855,0.0106359936059731,4354
30,0.217263854693909,1.57241078938619e-25,2258
31,-0.0461159299099308,0.000452448761621107,5781
32,-0.342630500515019,1.31334819931139e-178,6505
33,0.181921909519187,2.23700314809194e-20,2545
34,-0.0797878067207081,1.00546558101151e-05,3056
35,0.267752814606713,3.79195551091638e-62,3723
36,-0.0517042392978065,0.00123766785598486,3900
37,0.304262620002578,1.87686784213883e-74,3433
38,0.00547739664530945,0.684541989017207,5504
39,-0.0650353724384996,5.99008390415298e-06,4837
40,0.239303429641482,2.45313915616066e-35,2612
41,0.0355296029965062,0.0350419331577383,3520
42,-0.16917389297492,3.14005861910643e-16,2300
43,-0.0869235432792158,4.97113791959532e-07,3335
44,0.460067799636951,4.92157617370572e-88,1666
45,0.242908926289006,2.5460198500215e-61,4491
46,-0.31795310935999,1.49843527364608e-144,6152
47,-0.500743335763927,3.77149015360809e-195,3079
48,-0.349422846380351,1.54339647673001e-50,1719
49,-0.33197726388794,1.47140467771541e-121,4710
50,-0.304821526873899,1.74881766466928e-51,2339
51,0.307425852292887,2.88026451004376e-87,3952
52,-0.5118301700529,1.68362759801708e-288,4340
53,-0.167449996355795,6.17160347157952e-22,3261
54,-0.335336093176628,1.83892886441691e-73,2758
55,-0.322352514477034,1.49436898619663e-89,3672
56,-0.0724993679972037,8.23244786729168e-08,5458
57,-0.260977558768056,3.30790593341748e-62,3930
58,-0.354666933689655,6.76788426393556e-117,3932
59,0.208437482591396,1.23018899507834e-30,2983
60,0.139494773120888,1.57271931607963e-09,1857
61,0.247715113617576,8.79683335420861e-33,2248
62,-0.0362397300743931,0.102440545261954,2032
63,-0.229437241651664,2.54033985652647e-30,2424
64,0.103039742667189,1.47909139237194e-08,3008
